issue_id,issue_desc,resolution,assignee,document_it,breached
35-563-3844,Pellentesque ultrices mattis odio.,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",Sebastien Leatham,ridiculus mus etiam,false
64-367-8037,Nulla facilisi.,Maecenas ut massa quis augue luctus tincidunt.,Jeffy Gherardi,accumsan tortor quis,false
40-828-5989,Phasellus id sapien in sapien iaculis congue.,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,Calla Cobbold,rutrum nulla nunc purus,true
74-352-4415,Donec semper sapien a libero.,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",Mathe Moreinis,vehicula consequat morbi a,true
99-037-9249,Curabitur gravida nisi at nibh.,Quisque ut erat. Curabitur gravida nisi at nibh.,Tymothy MacCall,at lorem,false
72-105-4149,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.",Gardie Billingsley,non mauris morbi non,true
47-233-6115,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",Vestibulum ac est lacinia nisi venenatis tristique.,Marijn Crawford,id mauris vulputate elementum,true
54-856-1097,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,Helenka McGready,libero nam dui proin,false
98-308-3929,Donec posuere metus vitae ipsum.,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",Blanca Steed,et magnis,false
92-492-8178,Phasellus sit amet erat.,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",Ingeberg Discombe,sociis natoque penatibus,true
28-513-4051,Nulla tellus.,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",Holmes Suarez,turpis eget elit,true
07-119-7170,Nunc nisl.,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,Melitta Dunklee,curae nulla dapibus dolor,true
84-960-3594,In eleifend quam a odio.,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,Nikola Livzey,tellus semper interdum mauris,false
95-328-7516,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Mauris lacinia sapien quis libero.,Brendin Trenbey,nulla mollis,false
45-192-0806,Nulla ac enim.,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,Cherin Davydzenko,massa id lobortis convallis,false
89-743-9473,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.","Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Tadeas Nertney,vestibulum ante,false
52-920-2228,Etiam faucibus cursus urna.,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,Dori Meineking,a feugiat,true
